iteration,isolation,commit_hint_first,thread_a_committed,thread_b_committed,thread_a_error,thread_b_error,invariant_ok,invariant_detail
0,READ COMMITTED,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=b133b354-de4f-425d-a34d-035e36d50bc5, reason=kind_outranked -- payload={""value"": ""INFERRED_iter0"", ""writer"": ""kndb_native"", ""fact_id"": ""d7ca81d0-1c7f-4109-83f7-e4e2edc96694"", ""provsql"": ""65a901aa-a405-4ec9-90c6-30ba471f5536"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:18.247337-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000000, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
1,READ COMMITTED,A,1,1,,,1,
2,READ COMMITTED,A,1,1,,,1,
3,READ COMMITTED,A,1,1,,,1,
4,READ COMMITTED,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=04269c99-af25-4506-907b-faab223186ec, reason=kind_outranked -- payload={""value"": ""INFERRED_iter4"", ""writer"": ""kndb_native"", ""fact_id"": ""81168c27-e827-4eab-b49b-ea986b154a88"", ""provsql"": ""326517a7-f8b7-4105-8d52-98ea9301bef1"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:18.288195-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000004, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
5,READ COMMITTED,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=aa36503a-2e87-43ef-a549-2f9e1bdd9254, reason=kind_outranked -- payload={""value"": ""INFERRED_iter5"", ""writer"": ""kndb_native"", ""fact_id"": ""9539dbaf-fa8c-425d-9385-344a8c4cc4cc"", ""provsql"": ""0c7a8e94-4405-479e-a4e4-f5df8a05cc69"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:18.296003-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000005, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
6,READ COMMITTED,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=44f50817-df3e-4499-8a40-a92ebfa656dd, reason=kind_outranked -- payload={""value"": ""INFERRED_iter6"", ""writer"": ""kndb_native"", ""fact_id"": ""0d176d77-e84f-4b3d-bd1d-11f9946bace8"", ""provsql"": ""a690a186-a68f-4824-98cf-b105a6c2dcb8"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:18.304424-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000006, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
7,READ COMMITTED,A,1,1,,,1,
8,READ COMMITTED,A,1,1,,,1,
9,READ COMMITTED,A,1,1,,,1,
10,READ COMMITTED,A,1,1,,,1,
11,READ COMMITTED,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=261f6771-893c-4e67-a2d7-bbe4a3d482db, reason=kind_outranked -- payload={""value"": ""INFERRED_iter11"", ""writer"": ""kndb_native"", ""fact_id"": ""a85eaa89-baac-4fc5-8016-00573cc34de9"", ""provsql"": ""4d03c5a6-fb84-4858-be31-65248ae60143"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:18.347846-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000011, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
12,READ COMMITTED,A,1,1,,,1,
13,READ COMMITTED,A,1,1,,,1,
14,READ COMMITTED,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=ad427833-12a4-4dfe-a81a-2d0a6c70969f, reason=kind_outranked -- payload={""value"": ""INFERRED_iter14"", ""writer"": ""kndb_native"", ""fact_id"": ""c6016bff-7797-4856-99d7-8cc856c46bfc"", ""provsql"": ""a5b66f40-b545-4356-887c-9961a2473ccc"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:18.37457-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000014, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
15,READ COMMITTED,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=d71980a4-57e8-4ffc-9be5-1a1e43190273, reason=kind_outranked -- payload={""value"": ""INFERRED_iter15"", ""writer"": ""kndb_native"", ""fact_id"": ""f5cb11b1-2a37-47f4-909a-fc968e66a564"", ""provsql"": ""331603b7-1bfe-4bf4-aa95-7d5632f307e9"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:18.383427-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000015, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
16,READ COMMITTED,A,1,1,,,1,
17,READ COMMITTED,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=109b4486-e5c3-4d44-ba24-7f98b26a41f6, reason=kind_outranked -- payload={""value"": ""INFERRED_iter17"", ""writer"": ""kndb_native"", ""fact_id"": ""64cb835f-2de7-4c6e-b1cb-9daab380c55d"", ""provsql"": ""6e72cd35-eb03-4d85-be5b-8835baf3dc39"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:18.400113-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000017, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
18,READ COMMITTED,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=a9c80698-43e9-448b-9de6-408d2fe2f4fa, reason=kind_outranked -- payload={""value"": ""INFERRED_iter18"", ""writer"": ""kndb_native"", ""fact_id"": ""cc2cc5ce-a724-4042-a2b3-e78ac6934908"", ""provsql"": ""cf1ebd76-03ca-463d-b2d0-8708e1e5cfc6"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:18.408047-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000018, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
19,READ COMMITTED,A,1,1,,,1,
20,READ COMMITTED,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=665e0458-3306-42d9-bc56-1fbed58a10fc, reason=kind_outranked -- payload={""value"": ""INFERRED_iter20"", ""writer"": ""kndb_native"", ""fact_id"": ""f16bac6f-3c4d-4361-9a04-36e0961ee38b"", ""provsql"": ""4433259a-e346-4e9e-a844-1ff55e0c07cc"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:18.426263-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000020, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
21,READ COMMITTED,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=a108fec0-cf71-4af6-9a4a-4b18a953cd29, reason=kind_outranked -- payload={""value"": ""INFERRED_iter21"", ""writer"": ""kndb_native"", ""fact_id"": ""eb4df61c-9dfd-4bde-9d3a-1233698bc1bc"", ""provsql"": ""223b72ab-c951-4c96-9deb-8bbc1d970f45"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:18.434815-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000021, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
22,READ COMMITTED,A,1,1,,,1,
23,READ COMMITTED,A,1,1,,,1,
